LECROYHDO6054,4546,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,15-Nov-2019 16:21:52,0                 
Time,Ampl
-3.3236491,0.0172444
-3.3226491,0.0155611
-3.3216491,0.0144944
-3.3206491,0.0140722
-3.3196491,0.0143528
-3.3186491,0.0147528
-3.3176491,0.0150333
-3.3166491,0.0147361
-3.3156491,0.0138333
-3.3146491,0.0126389
-3.3136491,0.0114722
-3.3126491,0.0105917
-3.3116491,0.0102222
-3.3106491,0.0104389
-3.3096491,0.0109833
-3.3086491,0.0116361
-3.3076491,0.0122444
-3.3066491,0.0128028
-3.3056491,0.0132472
-3.3046491,0.0136361
-3.3036491,0.0142806
-3.3026491,0.0152083
-3.3016491,0.0162222
-3.3006491,0.0169139
-3.2996491,0.0173139
-3.2986491,0.0170944
-3.2976491,0.0164861
-3.2966491,0.0155667
-3.2956491,0.0149472
-3.2946491,0.0144611
-3.2936491,0.0140972
-3.2926491,0.0135806
-3.2916491,0.0131222
-3.2906491,0.0126139
-3.2896491,0.0121306
-3.2886491,0.0116222
-3.2876491,0.0111333
-3.2866491,0.0105306
-3.2856491,0.00972222
-3.2846491,0.00883056
-3.2836491,0.00827778
-3.2826491,0.00819722
-3.2816491,0.00868611
-3.2806491,0.00963889
-3.2796491,0.0108889
-3.2786491,0.0120583
-3.2776491,0.0130417
-3.2766491,0.0137583
-3.2756491,0.014375
-3.2746491,0.0148528
-3.2736491,0.0151361
-3.2726491,0.0151111
-3.2716491,0.0148694
-3.2706491,0.0144194
-3.2696491,0.014
-3.2686491,0.0138083
-3.2676491,0.0140889
-3.2666491,0.0145639
-3.2656491,0.0150778
-3.2646491,0.0154389
-3.2636491,0.01565
-3.2626491,0.015425
-3.2616491,0.0148722
-3.2606491,0.0141861
-3.2596491,0.0136806
-3.2586491,0.0133833
-3.2576491,0.0132083
-3.2566491,0.01325
-3.2556491,0.0133556
-3.2546491,0.0133583
-3.2536491,0.0130361
-3.2526491,0.0128444
-3.2516491,0.0128889
-3.2506491,0.0131
-3.2496491,0.0131972
-3.2486491,0.0134028
-3.2476491,0.0136694
-3.2466491,0.0137528
-3.2456491,0.0137278
-3.2446491,0.0137639
-3.2436491,0.014325
-3.2426491,0.0152833
-3.2416491,0.0167389
-3.2406491,0.0183389
-3.2396491,0.0199861
-3.2386491,0.0207222
-3.2376491,0.0204694
-3.2366491,0.0195722
-3.2356491,0.0189167
-3.2346491,0.0185917
-3.2336491,0.0187111
-3.2326491,0.0192583
-3.2316491,0.0196528
-3.2306491,0.01925
-3.2296491,0.0179972
-3.2286491,0.0165056
-3.2276491,0.0149778
-3.2266491,0.0136417
-3.2256491,0.0127194
-3.2246491,0.0124389
-3.2236491,0.0124917
-3.2226491,0.0129528
-3.2216491,0.0138278
-3.2206491,0.0152194
-3.2196491,0.0166472
-3.2186491,0.0180306
-3.2176491,0.0188944
-3.2166491,0.0191944
-3.2156491,0.0190139
-3.2146491,0.0189389
-3.2136491,0.0192694
-3.2126491,0.0198611
-3.2116491,0.0207472
-3.2106491,0.0213083
-3.2096491,0.0214222
-3.2086491,0.0211583
-3.2076491,0.0210111
-3.2066491,0.0209667
-3.2056491,0.0211056
-3.2046491,0.0213556
-3.2036491,0.02105
-3.2026491,0.0201389
-3.2016491,0.0189472
-3.2006491,0.0180778
-3.1996491,0.0174056
-3.1986491,0.0172139
-3.1976491,0.0176472
-3.1966491,0.0181472
-3.1956491,0.0182667
-3.1946491,0.0180778
-3.1936491,0.0178944
-3.1926491,0.0175556
-3.1916491,0.0172444
-3.1906491,0.0171833
-3.1896491,0.0173
-3.1886491,0.0172722
-3.1876491,0.0166389
-3.1866491,0.0156417
-3.1856491,0.0143278
-3.1846491,0.0130278
-3.1836491,0.0118889
-3.1826491,0.0116417
-3.1816491,0.0122417
-3.1806491,0.0125972
-3.1796491,0.0121944
-3.1786491,0.0111278
-3.1776491,0.00973889
-3.1766491,0.007725
-3.1756491,0.00666389
-3.1746491,0.00694722
-3.1736491,0.00843889
-3.1726491,0.009825
-3.1716491,0.0114083
-3.1706491,0.0127639
-3.1696491,0.0136333
-3.1686491,0.014125
-3.1676491,0.0148389
-3.1666491,0.0159861
-3.1656491,0.017075
-3.1646491,0.0183056
-3.1636491,0.0191694
-3.1626491,0.0198722
-3.1616491,0.0197722
-3.1606491,0.0193333
-3.1596491,0.0179083
-3.1586491,0.0161028
-3.1576491,0.0137889
-3.1566491,0.011775
-3.1556491,0.00993055
-3.1546491,0.00943056
-3.1536491,0.0101194
-3.1526491,0.0118833
-3.1516491,0.0134861
-3.1506491,0.0148861
-3.1496491,0.0153278
-3.1486491,0.0148861
-3.1476491,0.0136778
-3.1466491,0.0127028
-3.1456491,0.0123667
-3.1446491,0.0130639
-3.1436491,0.0145667
-3.1426491,0.0164583
-3.1416491,0.0183056
-3.1406491,0.0193917
-3.1396491,0.0193361
-3.1386491,0.0182222
-3.1376491,0.0169528
-3.1366491,0.0157694
-3.1356491,0.0148417
-3.1346491,0.0141528
-3.1336491,0.0139722
-3.1326491,0.0139139
-3.1316491,0.0141083
-3.1306491,0.0149583
-3.1296491,0.0170139
-3.1286491,0.0201111
-3.1276491,0.0239889
-3.1266491,0.0281083
-3.1256491,0.0316139
-3.1246491,0.033875
-3.1236491,0.0345222
-3.1226491,0.033875
-3.1216491,0.0318861
-3.1206491,0.0293833
-3.1196491,0.026425
-3.1186491,0.0235639
-3.1176491,0.0205861
-3.1166491,0.0182167
-3.1156491,0.0162694
-3.1146491,0.0149333
-3.1136491,0.0139028
-3.1126491,0.0132667
-3.1116491,0.0129306
-3.1106491,0.0127806
-3.1096491,0.0128306
-3.1086491,0.0128861
-3.1076491,0.0129222
-3.1066491,0.0124139
-3.1056491,0.0117194
-3.1046491,0.0108833
-3.1036491,0.0103972
-3.1026491,0.0100778
-3.1016491,0.0102722
-3.1006491,0.0106
-3.0996491,0.0104972
-3.0986491,0.00970278
-3.0976491,0.00863611
-3.0966491,0.00771389
-3.0956491,0.00713333
-3.0946491,0.00767778
-3.0936491,0.00942778
-3.0926491,0.0120556
-3.0916491,0.0145722
-3.0906491,0.016725
-3.0896491,0.0181417
-3.0886491,0.0186889
